2037;-3;429
2034;2;414
2025;3;441
2045;-1;435
2045;-2;432
2037;-3;425
2033;0;428
2038;1;423
2034;4;425
2023;9;426
2027;3;429
2039;3;414
2028;7;409
2032;10;423
2042;2;427
2048;-3;420
2035;7;416
2004;9;445
2019;28;444
2043;18;395
2038;8;400
1978;-16;493
2070;-21;411
2042;13;465
2056;10;388
2049;7;412
2021;4;437
2026;4;423
2021;7;430
2046;8;426
2054;13;407
2042;15;388
2035;12;378
2031;9;379
2043;9;380
2044;12;381
2043;11;373
2025;23;421
2049;21;396
2055;15;378
2029;21;431
2055;22;384
2042;23;398
2039;19;416
2045;13;413
2047;12;415
2041;13;419
2047;13;410
2040;12;409
2036;6;397
2031;9;394
2037;7;403
2042;5;395
2044;5;392
2045;6;389
2041;6;394
2045;12;396
2040;7;402
2028;8;408
2037;18;418
2063;17;356
2065;16;343
2003;1;432
2050;-1;400
2044;18;433
2046;12;374
2040;17;390
2038;15;407
2046;10;397
2048;14;409
2053;11;414
2050;7;392
2037;11;395
2031;16;396
2042;14;387
2041;15;396
2040;17;393
2050;10;380
2034;18;428
2049;7;387
2052;6;375
2035;9;423
2053;11;397
2039;17;403
2040;15;422
2049;9;422
2044;9;416
2043;10;415
2042;11;410
2045;8;408
2030;9;415
2034;11;412
2032;12;414
2036;9;421
2036;11;428
2042;8;428
2036;5;420
2042;9;423
2034;6;431
2036;11;434
2037;13;443
2020;7;442
2024;16;452
2051;15;424
2067;17;379
1964;6;484
2044;-8;411
2032;9;462
2036;24;404
2036;17;422
2030;9;459
2044;15;442
2045;11;452
2048;4;451
2045;8;431
2036;8;413
2016;8;421
2013;12;430
2020;16;433
2029;21;438
2053;6;398
2020;17;470
2051;9;409
2047;4;409
2027;-1;450
2042;17;416
2034;15;428
2034;13;441
2043;5;436
2038;10;431
2034;9;426
2034;6;431
2028;11;426
2027;15;417
2033;18;422
2032;10;418
2033;13;435
2040;8;436
2040;9;425
2044;11;417
2034;10;419
2038;9;424
2033;6;426
2026;8;438
2018;1;455
2037;14;433
2056;8;387
2047;5;378
1990;-6;464
2046;-2;420
2044;16;418
2034;16;391
2025;8;442
2043;5;452
2051;6;419
2032;8;448
2035;6;436
2029;4;426
2021;4;427
2025;8;425
2031;15;426
2032;14;429
